"Reference","Value","Qty","Digikey #"
"C1","22uF","1","1276-1771-2-ND"
"C2","10uF","1","1276-6736-1-ND"
"D1","LED","1","1516-1073-2-N"
"D3","D_Schottky","1","478-7805-2-ND"
"J1","Conn_01x07_Male","1","455-1674-ND"
"J2","Conn_01x02_Female","1","ED2561-ND"
"J3","Barrel_Jack","1","839-54-00166-ND"
"J4","WROOM32_1","1",""
"J5","WROOM32_2","1",""
"Q1","NDT3055","1","NDT3055CT-ND"
"R1","2K","1","P2.0KVTR-ND"
"R4,R6","1k","2","RMCF1210FT1K00"
"R5,R7","2k","2","P2.0KVTR-ND"
"U1","L7805","1","1470-VR10S05-ND"
